truth_x,truth_y,truth_z,truth_vx,truth_vy,truth_vz,truth_roll,truth_pitch,truth_yaw,f_mode,armed,time_ms,imu_seq,cont_seq,log_seq,dt,imu_dt,hal_dt,rc_thr,rc_roll,rc_pitch,rc_yaw,t_roll,t_pitch,t_yaw,g_roll,g_pitch,g_yaw,a_roll,a_pitch,cor_roll,cor_pitch,err_roll,err_pitch,est_roll,est_pitch,est_yaw,gyr_b_x,gyr_b_y,gyr_b_z,accel_m,accel_w,ahrs_v,c_roll,c_pitch,c_yaw,m1,m2,m3,m4
0.00110308,-0.000256906,-0.0308449,-6.68647e-06,3.7828e-06,9.95512e-06,0.0031108,0.0334655,-0.000749055,0,1,8400,0,0,0,0,0.002,0,0.43075,0,0,0,0,0,0,-0.0016245,-0.0305614,-0.0097408,-0.387237,0.00567997,0,0,0,0,-0.00621238,0.00139778,0.00321708,0,0,0,9.84402,0.891128,1,0,0,0,0.43075,0.43075,0.43075,0.43075
0.00110182,-0.000256153,-0.0308429,-5.92599e-06,3.37552e-06,8.98293e-06,0.00309701,0.0334412,-0.00074913,0,1,8600,0,0,0,0,0.002,0,0.4759,0,0,0,0,0,0,-0.0124116,-0.0333659,0.00540836,-0.372974,-0.0121298,0,0,0,0,-0.0063331,0.000766921,0.00344755,0,0,0,9.85608,0.886041,1,0,0,0,0.4759,0.4759,0.4759,0.4759
0.00110125,-0.000255814,-0.0308419,-2.94904e-06,1.68781e-06,4.52484e-06,0.00309079,0.0334303,-0.000749163,0,1,8800,0,0,0,0,0.002,0,0.506406,0,0,0,0,0,0,-0.0105994,-0.0263356,-0.00129638,-0.383268,-0.0572165,0,0,0,0,-0.00640403,0.00018625,0.00411756,0,0,0,9.86834,0.875737,1,0,0,0,0.506406,0.506406,0.506406,0.506406
0.00110081,-0.000255547,-0.0308412,0,0,0,0.00308589,0.0334218,-0.000749189,0,1,9000,0,0,0,0,0.002,0,0.538743,0,0,0,0,0,0,-0.0087628,-0.0283976,-0.0119014,-0.377785,-0.0175389,0,0,0,0,-0.00744183,-0.000316254,0.00418208,0,0,0,9.84333,0.890312,1,0,0,0,0.538743,0.538743,0.538743,0.538743
0.00460916,-0.000581612,-0.028393,0.0402967,-0.00371374,0.0452231,0.00306603,0.0333498,-0.000750106,0,1,9200,0,0,0,0,0.002,0,0.585723,0,0,0,0,0,0,-0.00410002,-0.0334021,0.00500044,-0.115553,-0.104232,0,0,0,0,-0.00798664,-0.00389342,0.00438788,0,0,0,10.6355,0.422194,1,0,0,0,0.585723,0.585723,0.585723,0.585723
0.0206319,-0.00206304,0.00898249,0.100703,-0.00921719,0.319032,0.00283625,0.0324118,-0.000753808,0,1,9400,0,0,0,0,0.002,0,0.606467,0,0,0,0,0,0,-0.0156356,-0.0174213,0.00101788,-0.0804368,-0.0516065,0,0,0,0,-0.00936267,-0.0107061,0.00507565,0,0,0,11.5959,0,1,0,0,0,0.606467,0.606467,0.606467,0.606467
0.0522995,-0.00490922,0.128676,0.16096,-0.0144164,0.793227,0.00203073,0.0291053,-0.000762211,0,1,9600,0,0,0,0,0.002,0,0.61867,0,0,0,0,0,0,-0.0245209,-0.0557362,0.00118736,-0.0485508,-0.0645068,0,0,0,0,-0.0112096,-0.020189,0.00551518,0,0,0,12.4151,0,1,0,0,0,0.61867,0.61867,0.61867,0.61867
0.0947327,-0.00844291,0.33983,0.212245,-0.0183219,1.31594,0.000447545,0.0229797,-0.000767627,0,1,9800,0,0,0,0,0.002,0,0.624771,0,0,0,0,0,0,-0.00960371,-0.0702054,-0.0110675,-0.112846,-0.0640096,0,0,0,0,-0.0142853,-0.0327413,0.00527409,0,0,0,12.6672,0,1,0,0,0,0.624771,0.624771,0.624771,0.624771
0.150107,-0.0122445,0.678385,0.257429,-0.0209702,1.8997,-0.00239202,0.0150985,-0.000750259,0,1,10000,0,0,0,0,0.002,0,0.625991,0,0,0,0,0,0,-0.0259053,-0.0832041,0.000345195,-0.08201,-0.0650945,0,0,0,0,-0.0175348,-0.0468475,0.00660217,0,0,0,12.6852,0,1,0,0,0,0.625991,0.625991,0.625991,0.625991
0.208176,-0.0145285,1.10656,0.275298,-0.0215193,2.45433,-0.00635931,0.0154752,-0.000744232,0,1,10200,0,0,0,0,0.002,0,0.625991,0,0,0,0,0,0,-0.0367171,0.00104946,-0.00098013,-0.106539,-0.065052,0,0,0,0,-0.0229324,-0.0543497,0.00671372,0,0,0,12.7346,0,1,0,0,0,0.625991,0.625991,0.625991,0.625991
0.275934,-0.0135263,1.67124,0.287053,-0.0190423,2.94018,-0.0120305,0.0206873,-0.000785998,0,1,10400,0,0,0,0,0.002,0,0.581452,0,0,0,0,0,0,-0.0346143,-0.0144638,0.00532574,-0.0862712,-0.0448337,0,0,0,0,-0.0289647,-0.0549899,0.00698392,0,0,0,11.2199,0.0333675,1,0,0,0,0.581452,0.581452,0.581452,0.581452
0.346629,-0.00741647,2.2567,0.318836,-0.0111282,3.11992,-0.0186959,0.0199379,-0.000775014,0,1,10600,0,0,0,0,0.002,0,0.57169,0,0.0304878,0,0,0.191561,0,-0.054642,-0.0298854,0.0161357,-0.0957651,-0.0470693,0,0,0,0,-0.0355824,-0.0580022,0.00773905,0,0,0,10.6485,0.357547,1,0,0.00771299,0,0.563977,0.579403,0.563977,0.579403
0.430829,0.00723293,2.91109,0.265541,0.00615183,3.29082,-0.0271925,0.0585241,-0.00174185,0,1,10800,0,0,0,0,0.002,0,0.57169,0,0.0829268,0,0,0.521045,0,-0.0409617,0.184629,-0.00774225,-0.0972755,-0.0637008,0,0,0,0,-0.0428234,-0.0280044,0.00661774,0,0,0,10.5993,0.40728,1,0,0.00591594,0,0.565774,0.577606,0.565774,0.577606
0.533199,0.0318175,3.55555,0.196827,0.03331,3.46253,-0.0363635,0.1263,-0.00418558,0,1,11000,0,0,0,0,0.002,0,0.57169,0,0.109756,0,0,0.689618,0,-0.0535757,0.348868,0.00202905,-0.0755578,-0.0568105,0,0,0,0,-0.0505106,0.0326845,0.00355678,0,0,0,10.5979,0.40926,1,0,0,0,0.57169,0.57169,0.57169,0.57169
0.684355,0.0701693,4.22501,0.178021,0.0732804,3.65436,-0.0465613,0.216385,-0.00858709,0,1,11200,0,0,0,0,0.002,0,0.57169,0,0.153659,0,0,0.965465,0,-0.0494962,0.470825,-0.00101212,-0.0766995,-0.0532559,0,0,0,0,-0.0584701,0.114015,-0.000507989,0,0,0,10.6121,0.333265,1,0,0,0,0.57169,0.57169,0.57169,0.57169
0.936284,0.129605,4.95683,0.284671,0.131001,3.9084,-0.0585476,0.319563,-0.0152867,0,1,11400,0,0,0,0,0.002,0,0.57291,0,0.114634,0,0,0.720268,0,-0.0541084,0.46393,-0.0152266,-0.0970809,-0.0604733,0,0,0,0,-0.0685924,0.203787,-0.00781467,0,0,0,10.6777,0.223305,1,0,0,0,0.57291,0.57291,0.57291,0.57291
1.29668,0.207258,5.6705,0.8054,0.197791,4.34162,-0.0691541,0.328033,-0.0170825,0,1,11600,0,0,0,0,0.002,0,0.622941,0,0,0,0,0,0,-0.0676741,0.0882577,-0.00412661,-0.187497,-0.085096,0,0,0,0,-0.0799976,0.215438,-0.00998287,0,0,0,12.4908,0,1,0,0,0,0.622941,0.622941,0.622941,0.622941
1.83653,0.321111,6.51405,1.39485,0.271515,5.12475,-0.0825942,0.330211,-0.0184954,0,1,11800,0,0,0,0,0.002,0,0.640635,0,0,0,0,0,0,-0.0760398,0.0050773,-0.00504116,-0.257203,-0.0988285,0,0,0,0,-0.0933191,0.211498,-0.0103664,0,0,0,13.3044,0,1,0,0,0,0.640635,0.640635,0.640635,0.640635
2.49805,0.463803,7.41212,1.96444,0.593233,5.85781,-0.0387594,0.327634,-0.0187254,0,1,12000,0,0,0,0,0.002,0,0.633923,0.0964591,0,0,0.60607,0,0,0.569429,0.0307912,0.0112115,-0.342919,-0.116234,0,0,0,0,-0.0644102,0.201692,-0.00984574,0,0,0,13.1718,0,1,-0.0130506,0,0,0.646974,0.620872,0.620872,0.646974
3.35774,0.632791,8.47405,2.56734,0.755767,6.58393,-0.026831,0.319163,-0.0195194,0,1,12200,0,0,0,0,0.002,0,0.629652,0,0,0,0,0,0,-0.0636649,-0.0861513,0.0060725,-0.463446,-0.171285,0,0,0,0,-0.0376453,0.191296,-0.00978681,0,0,0,12.9602,0,1,0,0,0,0.629652,0.629652,0.629652,0.629652
4.30557,0.797604,9.57009,3.10919,0.800415,7.23088,-0.0225571,0.31238,-0.0199685,0,1,12400,0,0,0,0,0.002,0,0.624771,0,0,0,0,0,0,0.142544,-0.105731,-0.00434056,-0.546008,-0.166982,0,0,0,0,-0.0389387,0.178474,-0.0100927,0,0,0,12.775,0,1,-0.00802306,0.00594569,0,0.626849,0.622694,0.610802,0.63874
5.37958,0.967817,10.7557,3.64779,0.762354,7.84139,-0.0339698,0.303934,-0.0203942,0,1,12600,0,0,0,0,0.002,0,0.6205,0,0,0,0,0,0,-0.0916548,-0.12024,-0.0125253,-0.621995,-0.144904,0,0,0,0,-0.0476608,0.161334,-0.00984042,0,0,0,12.6616,0,1,0.00521805,0.00685261,0,0.60843,0.632571,0.618866,0.622135
6.65065,1.15771,12.1085,4.16921,0.740351,8.43322,-0.0423054,0.299446,-0.020583,0,1,12800,0,0,0,0,0.002,0,0.586943,0,0,0,0,0,0,-0.0705394,-0.0538865,-0.00791161,-0.665974,-0.184107,0,0,0,0,-0.0560203,0.150577,-0.00931034,0,0,0,11.61,0,1,0,0,0,0.586943,0.586943,0.586943,0.586943
7.94802,1.34784,13.4145,4.6698,0.712288,8.48105,-0.0526855,0.291199,-0.0201453,0,1,13000,0,0,0,0,0.002,0,0.515558,0,0,0,0,0,0,-0.043218,-0.0188899,0.00319226,-0.672747,-0.134006,0,0,0,0,-0.066476,0.131704,-0.00748604,0,0,0,8.89685,0.317228,1,0,0,0,0.515558,0.515558,0.515558,0.515558
9.40395,1.56326,14.753,5.18606,0.708113,8.25127,-0.0635914,0.279599,-0.0189208,0,1,13200,0,0,0,0,0.002,0,0.503966,0,0,0,0,0,0,-0.0593248,-0.0851251,0.00659124,-0.699413,-0.140102,0,0,0,0,-0.0780533,0.115559,-0.00578917,0,0,0,8.31901,0,1,0,0,0,0.503966,0.503966,0.503966,0.503966
10.8357,1.78106,15.9469,5.66861,0.707644,7.9301,-0.07578,0.266178,-0.0169068,0,1,13400,0,0,0,0,0.002,0,0.489933,0.0634921,0,0,0.398932,0,0,-0.113416,-0.125548,0.0252378,-0.76156,-0.141834,0,0,0,0,-0.0905211,0.0952994,-0.00248403,0,0,0,7.97336,0,1,0.0188022,0.00708967,0,0.464041,0.515825,0.501645,0.47822
