truth_x,truth_y,truth_z,truth_vx,truth_vy,truth_vz,truth_roll,truth_pitch,truth_yaw,f_mode,armed,time_ms,imu_seq,cont_seq,log_seq,dt,imu_dt,hal_dt,rc_thr,rc_roll,rc_pitch,rc_yaw,t_roll,t_pitch,t_yaw,g_roll,g_pitch,g_yaw,a_roll,a_pitch,cor_roll,cor_pitch,err_roll,err_pitch,est_roll,est_pitch,est_yaw,gyr_b_x,gyr_b_y,gyr_b_z,accel_m,accel_w,ahrs_v,c_roll,c_pitch,c_yaw,m1,m2,m3,m4
8.08927e-19,-1.10177e-19,0.0549996,0,0,0,1.51057e-18,1.31857e-17,-2.56853e-19,1,0,14400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.00171073,-0.0015375,-0.00282428,-0.0762189,-0.0198014,0,0,0,0,-0.00328195,0.00648419,0.00586544,0,0,0,9.76152,0.965604,1,0,0,0,0,0,0,0
8.08927e-19,-1.10177e-19,0.0549996,0,0,0,1.51057e-18,1.31857e-17,-2.56853e-19,1,0,14600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0104916,-0.00143405,-0.0101931,-0.0412271,-0.027796,0,0,0,0,-0.0031646,0.00631907,0.00601855,0,0,0,9.77621,0.974801,1,0,0,0,0,0,0,0
8.08927e-19,-1.10177e-19,0.0549996,0,0,0,1.51057e-18,1.31857e-17,-2.56853e-19,1,0,14800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.00406451,-0.00821405,0.00846635,-0.0624207,-0.0601861,0,0,0,0,-0.00377922,0.00678061,0.00554537,0,0,0,9.76203,0.964509,1,0,0,0,0,0,0,0
8.08927e-19,-1.10177e-19,0.0549996,0,0,0,1.51057e-18,1.31857e-17,-2.56853e-19,1,0,15000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.00871346,-0.00112912,0.0103226,-0.0410259,-0.0436936,0,0,0,0,-0.00461117,0.00697466,0.00537032,0,0,0,9.74125,0.949677,1,0,0,0,0,0,0,0
8.08927e-19,-1.10177e-19,0.0549996,0,0,0,1.51057e-18,1.31857e-17,-2.56853e-19,1,0,15200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.00753379,-0.00172564,-0.0106516,-0.0518321,-0.0428174,0,0,0,0,-0.00392441,0.00576165,0.0051957,0,0,0,9.75032,0.960426,1,0,0,0,0,0,0,0
8.08927e-19,-1.10177e-19,0.0549996,0,0,0,1.51057e-18,1.31857e-17,-2.56853e-19,1,0,15400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.00973413,0.00499005,-0.00343658,-0.0482193,-0.0322082,0,0,0,0,-0.00411385,0.00539969,0.00597922,0,0,0,9.76101,0.966869,1,0,0,0,0,0,0,0
8.08927e-19,-1.10177e-19,0.0549996,0,0,0,1.51057e-18,1.31857e-17,-2.56853e-19,1,1,15600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.00110153,0.00111826,-0.00448981,-0.0570891,-0.0357615,0,0,0,0,-0.00350645,0.00525637,0.00567387,0,0,0,9.75763,0.965628,1,0,0,0,0.06,0.06,0.06,0.06
8.08927e-19,-1.10177e-19,0.0549996,0,0,0,1.51057e-18,1.31857e-17,-2.56853e-19,1,1,15800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0197033,0.0107826,-0.00726825,-0.0303639,-0.0678126,0,0,0,0,-0.00283889,0.00508005,0.0056294,0,0,0,9.75755,0.956892,1,0,0,0,0.06,0.06,0.06,0.06
8.08927e-19,-1.10177e-19,0.0549996,0,0,0,1.51057e-18,1.31857e-17,-2.56853e-19,1,1,16000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0160337,0.00102759,-0.00478107,-0.0540916,-0.0151919,0,0,0,0,-0.0026149,0.00523594,0.00529988,0,0,0,9.74212,0.953592,1,0,0,0,0.06,0.06,0.06,0.06
8.08927e-19,-1.10177e-19,0.0549996,0,0,0,1.51057e-18,1.31857e-17,-2.56853e-19,1,1,16200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.00816214,0.0184537,0.00212242,-0.0465636,-0.0599749,0,0,0,0,-0.00349502,0.00516387,0.00534285,0,0,0,9.76588,0.966508,1,0,0,0,0.06,0.06,0.06,0.06
