truth_x,truth_y,truth_z,truth_vx,truth_vy,truth_vz,truth_roll,truth_pitch,truth_yaw,f_mode,armed,time_ms,imu_seq,cont_seq,log_seq,dt,imu_dt,hal_dt,rc_thr,rc_roll,rc_pitch,rc_yaw,t_roll,t_pitch,t_yaw,g_roll,g_pitch,g_yaw,g_mag,a_roll,a_pitch,cor_roll,cor_pitch,err_roll,err_pitch,est_roll,est_pitch,est_yaw,gyr_b_x,gyr_b_y,gyr_b_z,accel_m,accel_w,ahrs_v,c_roll,c_pitch,c_yaw,m1,m2,m3,m4
0,-0,0.055,0,0,0,0,0,-0,0,1,27400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0083,-0.0174,-0.0049,0.0199,-0.0374,-0.0504,0,0,0,0,-0.0056,0.0065,0.0044,0,0,0,9.7407,0.9494,1,0.0001,0.0003,0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,27600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0003,0.002,0.0016,0.0026,-0.0573,-0.0518,0,0,0,0,-0.0058,0.0063,0.0043,0,0,0,9.7502,0.9606,1,-0,-0,-0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,27800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0051,-0.0172,-0.0056,0.0188,-0.0541,-0.0522,0,0,0,0,-0.0062,0.0057,0.0044,0,0,0,9.7626,0.9683,1,-0.0001,0.0003,0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,28000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0076,0.0086,0.0023,0.0117,-0.0729,-0.0476,0,0,0,0,-0.0061,0.0067,0.0049,0,0,0,9.7123,0.9329,1,-0.0001,-0.0001,-0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,28200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0037,0.0066,0.0003,0.0076,-0.029,-0.0483,0,0,0,0,-0.0063,0.0063,0.0055,0,0,0,9.7401,0.9471,1,-0.0001,-0.0001,-0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,28400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0079,0.0077,0.0008,0.011,-0.0507,-0.0446,0,0,0,0,-0.0063,0.0069,0.0051,0,0,0,9.7621,0.9645,1,-0.0001,-0.0001,-0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,28600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0057,-0.0061,0.0031,0.0089,-0.0292,-0.0588,0,0,0,0,-0.007,0.007,0.0055,0,0,0,9.7822,0.9743,1,-0.0001,0.0001,-0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,28800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0015,0.0053,-0.0073,0.0092,-0.036,-0.0567,0,0,0,0,-0.0066,0.0061,0.0059,0,0,0,9.7525,0.9579,1,-0,-0.0001,0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,29000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.003,0.0008,0.0049,0.0058,-0.0772,-0.0805,0,0,0,0,-0.0066,0.0064,0.0062,0,0,0,9.7418,0.9513,1,0,-0,-0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,29200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0012,-0.0034,-0.0022,0.0042,-0.0462,-0.056,0,0,0,0,-0.0066,0.006,0.0058,0,0,0,9.7399,0.9515,1,0,0.0001,0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,29400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0048,0.0027,0.0147,0.0157,-0.0501,-0.026,0,0,0,0,-0.0068,0.0059,0.006,0,0,0,9.7549,0.9558,1,0.0001,-0,-0.0002,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,29600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0036,0.0182,-0.0017,0.0186,-0.0436,-0.0543,0,0,0,0,-0.0069,0.0063,0.0061,0,0,0,9.7389,0.9493,1,0.0001,-0.0003,0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,29800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0063,0.0002,0.0049,0.008,-0.0238,-0.0595,0,0,0,0,-0.0068,0.0066,0.0067,0,0,0,9.7507,0.953,1,0.0001,-0,-0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,30000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0037,0.0146,0.0015,0.0151,-0.0583,-0.0641,0,0,0,0,-0.0071,0.0067,0.0075,0,0,0,9.7662,0.971,1,-0.0001,-0.0002,-0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,30200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0081,-0.0166,-0.0234,0.0298,-0.0267,-0.0696,0,0,0,0,-0.007,0.0055,0.0076,0,0,0,9.7536,0.958,1,0.0001,0.0003,0.0003,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,30400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0016,-0.001,-0.0075,0.0077,-0.0159,-0.0541,0,0,0,0,-0.0073,0.0058,0.0072,0,0,0,9.7556,0.9555,1,0,0,0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,30600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.019,0.0023,-0.0131,0.0231,-0.0456,-0.0723,0,0,0,0,-0.0074,0.0056,0.0074,0,0,0,9.7512,0.96,1,0.0003,-0,0.0002,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,30800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0226,0.0028,0.0053,0.0234,-0.0503,-0.0647,0,0,0,0,-0.0072,0.0055,0.0075,0,0,0,9.7637,0.9695,1,-0.0004,-0,-0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,31000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0007,0.0057,0.0003,0.0057,-0.0628,-0.0475,0,0,0,0,-0.0067,0.0056,0.0085,0,0,0,9.7413,0.9514,1,-0,-0.0001,-0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,31200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0039,0.0015,-0.0013,0.0044,-0.0305,-0.0894,0,0,0,0,-0.0061,0.0062,0.009,0,0,0,9.7656,0.9629,1,0.0001,-0,0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,31400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0083,-0.014,0.0059,0.0173,-0.0538,-0.0699,0,0,0,0,-0.0066,0.0052,0.0099,0,0,0,9.787,0.9859,1,0.0001,0.0002,-0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,31600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0031,0.0059,0.0091,0.0112,-0.0784,-0.061,0,0,0,0,-0.0063,0.0051,0.0103,0,0,0,9.7502,0.9553,1,-0,-0.0001,-0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,31800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0041,-0.0053,-0.0006,0.0067,-0.0326,-0.0529,0,0,0,0,-0.0065,0.0054,0.0101,0,0,0,9.7644,0.9662,1,0.0001,0.0001,0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,32000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0078,0.0088,-0.0099,0.0153,-0.0627,-0.0534,0,0,0,0,-0.0062,0.0056,0.0108,0,0,0,9.7545,0.9626,1,0.0001,-0.0001,0.0001,0.06,0.06,0.06,0.06
